,【ベタ問】,
222,アメリカン航空、ブリティッシュエアウェイズ、日本航空などが加盟している、航空企業連合の1つは何でしょう？,ワンワールド
223,日本の文語文法において、唯一下一段活用をする動詞は何でしょう？,蹴る
224,世界にある2つの合衆国とは、アメリカ合衆国とどこでしょう？,メキシコ合衆国
225,イタリア人のジュゼッペ・ドナティによって考案された、イタリア語で「小さなガチョウ」という意味がある楽器は何でしょう？,オカリナ
226,ギリシャ文字、ヒエログリフ、デモティックの3種類の文字が刻まれている、1799年にナポレオンがエジプト遠征の際に発見した石碑は何でしょう？,ロゼッタストーン
227,英語で「三日月」という意味がある、アルミサッシの窓の内側などにつけられる半円形の締め付け金具は何でしょう？,クレセント(錠)
228,例えば「シカゴには何人のピアノ調律師がいるか」などのように、正確な値を得ることが困難な数量を、わずかな情報や数値を元に概算することを何というでしょう？,フェルミ推定
229,動く彫刻のことをモビールといいますが、動かない彫刻のことを何というでしょう？,スタビール
230,同じ種の恒温動物では、高緯度に生息するものほど動物のメラニン色素が少ないという法則を、提唱した科学者の名から何というでしょう？,グロージャーの法則
231,チェコの卓球選手ピーター・コルベルが考案した、ボールに強い横回転をかけたレシーブのことを、ボールがバナナのように曲がることから何というでしょう？,チキータ
232,同じ種の恒温動物では、高緯度に生息するものほど動物の突出部が短いという法則を、提唱した動物学者の名から何というでしょう？,アレンの法則
233,通常は第一バイオリンの主席奏者が務める、指揮者に次いで楽団のまとめ役となる、オーケストラにおける配役は何でしょう？,コンサートマスター
234,読み下すと「倶(とも)に天を戴(いただ)かず」となる、生かしてはおけないと思うほどの深い恨みや怒りを意味する四字熟語は何でしょう？,不俱戴天(ふぐたいてん)
235,ナイアガラの滝を構成する3つの滝とはアメリカ滝、カナダ滝と何でしょう？,ブライダルベール滝
236,元素周期表第11族に属する元素とは、銅、銀、金と何でしょう？,レントゲニウム
237,突然の出来事のことを「青天の霹靂」といいますが、この「霹靂」とは何のことでしょう？,雷
238,英語で「押しつぶす」という意味がある、イギリスの囚人が退屈しのぎに始めたのが起源とされる、四方を壁に囲まれたコートで行うスポーツは何でしょう？,スカッシュ
239,ドストエフスキーとともに19世紀のロシア文学を代表する、代表作に『戦争と平和』や『アンナ・カレーニナ』があるロシアの作家は誰でしょう？,レフ・トルストイ
240,ロシア語で「点」という意味がある、機関銃などを備えたコンクリート製の小型防御地点を何というでしょう？,トーチカ
241,イマヌエル・カントの発表した「三大批判書」といえば、『純粋理性批判』『実践理性批判』と何でしょう？,『判断力批判』
242,かつて魚は眠らないと考えられていたため、眠りを戒めるためにお寺に置いてあるものは何でしょう？,木魚
243,掛軸、見本、前金などがこれに当たる、1文字目を訓読み、2文字目を音読みする二字熟語のことを何というでしょう？,湯桶読み
244,「半導体の集積率は18ヶ月で2倍になる」という経験則を、提唱したアメリカ人の名から何というでしょう？,ムーアの法則
245,以前は歯科治療にも用いられていた、水銀と他の金属との合金を何というでしょう？,アマルガム
246,生涯のある時期における時間の主観的な感じ方は年齢に反比例するという法則を、考案したフランスの心理学者の名前から何というでしょう？,ジャネーの法則
247,自動車レースの長い直線コースの終点でよく見られる、強制的に減速させるためにサーキットに設けられるS字状のクランクを何というでしょう？,シケイン
248,歌舞伎十八番を五十音順に並べたとき、最初に来るのは『外郎売』ですが、最後に来るのは何でしょう？,『矢の根』
249,クリスマス前後に発生することからスペイン語で「神の子」という意味がある、南米のペルー海岸沖で海水温が例年と比べて高くなる現象は何でしょう？,エルニーニョ現象
250,1945年にはノーベル医学生理学賞を受賞した、抗菌性物質のリゾチームや世界初の抗生物質であるペニシリンを発見したイギリスの細菌学者は誰でしょう？,アレクサンダー・フレミング
251,BCS理論の「B」は彼のことを指している、1956年と1972年にノーベル物理学賞を受賞し、唯一ノーベル物理学賞を二度受賞した人物となっているのは誰でしょう？,ジョン・バーディーン
252,人名が元となった言葉をエポニムといいますが、地名が元になった言葉を何というでしょう？,トポニム
253,男装した主人公のレオノーレが夫のフロレスタンを救出するという内容の、ベートーベン唯一のオペラは何でしょう？,『フィデリオ』
254,本名を津禰(つね)という、代表作に『序の舞』がある画家で、1948年に女性として初めて文化勲章を受章したのは誰でしょう？,上村松園(しょうえん)
255,アルジェリアの首都はアルジェですが、ナイジェリアの首都はどこでしょう？,アブジャ
256,サッカードがこの原因である、ふと時計を見た時に、それが一瞬止まっているように見える錯視を何というでしょう？,クロノスタシス
257,エルンスト・シランデルによって創始された、地図とコンパスを用いて指定されたチェックポイントをより早く通過する競技は何でしょう？,オリエンテーリング
258,北米大陸の最高峰はデナリですが、南米大陸の最高峰は何でしょう？,アコンカグア
259,本名をアレッサンドロ・ディ・マリアーノ・フィリペーピという、代表作に『ヴィーナスの誕生』『春』があるルネサンス期イタリアの画家は誰でしょう？,ボッティチェリ
260,地球上で最も高い山はエベレストですが、太陽系で最も高い山は何でしょう？,オリンポス山
261,751年、唐とアッバース朝の間で起こった戦いで、これによりヨーロッパに製紙法がもたらされるきっかけとなったのは何でしょう？,タラス河畔の戦い
262,間口が狭く、奥行きの深い家のことを、ある魚の名前を使って何というでしょう？,うなぎの寝床
263,作者はこの作品により1982年にノーベル文学賞を受賞した、架空の村・マコンドが舞台のガルシア=マルケスの小説は何でしょう?,『百年の孤独』
264,千利休が考案した、茶室にある二尺二寸四方の入り口を何というでしょう？,にじり口
265,コンピューターの周辺機器規格の1つである「USB」とは、何という英語の略でしょう？,Universal Serial Bus
266,その中で初めて「アンドロイド」という言葉が使われた、オーギュスト・ヴィリエ・ド・リラダンの代表作は何でしょう？,『未来のイヴ』
267,西インド諸島を構成する3つの諸島とは、大アンティル諸島、小アンティル諸島と何でしょう？,バハマ諸島
268,フランス語で「目をだます」という意味がある、シュールレアリスムなどに用いられた絵画の手法は何でしょう？,トロンプルイユ
269,本名をヤン・ファン・デル・メール・ファン・デルフトという、『デルフトの眺望』『真珠の耳飾りの少女』などの作品で知られる画家は誰でしょう？,フェルメール
270,最高級のものは「ピジョンブラッド」と呼ばれる、7月の誕生石といえば何でしょう？,ルビー
271,アルコール度数の高い酒を飲んだ後に、口直しに飲む水のことを、「追いかける者」という意味の英語で何というでしょう？,チェイサー
272,ノルマルム広場強盗事件の起こった地名に由来する、誘拐事件や監禁事件の被害者が犯人にたいして好意を抱くことを、リマ症候群に対して何というでしょう？,ストックホルム症候群
273,元々は「一本のろうそく」という意味であったが、現在では「持っている服の中で一番上等なもの」という意味で使われる言葉は何でしょう？,一張羅
274,最期は茅ヶ岳の登山中に急死した、著書に『日本百名山』がある小説家・登山家は誰でしょう？,深田久弥
275,起点か終点のいずれかに乗換路線がなく一本道となっている鉄道路線のことを、ある体の器官の名前を使って何というでしょう？,盲腸線
276,「べートーベンの三大ピアノソナタ」といえば、8番の『悲愴』、14番の『月光』と、23番の何でしょう？,『熱情』
277,あまりにも議事が進行しなかったことから「会議は踊る、されど進まず」と評された、メッテルニヒがシェーンブルン宮殿で催した会議は何でしょう？,ウィーン会議
278,マックス・ウェーバーが提唱した支配の3形態とは、合法的支配、伝統的支配と何でしょう？,カリスマ的支配
279,アンティグアバーブーダを構成する3つの島とは、アンティグア島、バーブーダ島と何でしょう？,レドンダ島
280,スペイン語で「釜」という意味がある、火山活動によってできる大きな窪地を何というでしょう？,カルデラ
281,三角形の外心、重心、垂心を通る直線のことを、発見した数学者の名から何というでしょう？,オイラー線
282,シングルスではアウト、ダブルスではインとなる、テニスコートの両端にある細長いエリアのことを、「小道」という意味の言葉で何というでしょう？,アレー
283,原図を縮小、拡大するのに使う道具と、電車で屋根につけられた架線から電気を取り入れる装置に共通する名前は何でしょう？,パンタグラフ
284,古代ギリシャの彫刻や日本の飛鳥時代の仏像に見られる、口元に微笑を浮かべた表情のことを何というでしょう？,アルカイック・スマイル
285,「笑う哲学者」と称されたデモクリトスに対し「泣く哲学者」と称された、万物の根源を火と考えた、ギリシアの哲学者は誰でしょう？,ヘラクレイトス
286,モンゴル語では「モリン・ホール」という、モンゴル民話『スーホの白い馬』に登場することでも知られるモンゴルの弦楽器は何でしょう？,馬頭琴
287,化学式C18H27NO3で表される、唐辛子に含まれる辛味成分は何でしょう？,カプサイシン
288,特に第7曲の『トロイメライ』が有名である、ロベルト・シューマン作曲のピアノ曲は何でしょう？,『子供の情景』
289,アイスクリームやポテトサラダを半球状に盛り付けるときに用いられる器具を何というでしょう？,ディッシャー
290,大林宣彦監督の「尾道三部作」といえば、『転校生』『時をかける少女』と何でしょう？,『さびしんぼう』
291,これを打った選手は手を上げてお詫びをするのがマナーである、卓球において、台の端をかすめるようなボールを何というでしょう？,エッジボール
292,ネクタイを締める時に出来るくぼみのこと、ゴルフボールにあるくぼみに共通する、英語で「えくぼ」を意味する言葉は何でしょう？,ディンプル
293,創始者である小野義眞、岩崎弥之助、井上勝の3人の名前から名付けられた、岩手県にある日本最大の民間総合農場は何でしょう？,小岩井農場
294,光源氏の死を象徴しているといわれる、『源氏物語』において唯一巻名だけで本文がない巻は何でしょう？,雲隠（くもがくれ）
295,パティシエの中でも、特にチョコレートを扱う人を何というでしょう？,ショコラティエ
296,化学実験の準備の際に行われる、実験器具を実験に使う溶液ですすいでおくことを何というでしょう？,共洗い
297,レオナル・ド・ダヴィンチの『最後の晩餐』が所蔵されている、イタリアのミラノにある教会は何でしょう？,サンタ・マリア・デッレ・グラツィエ教会
298,水素を発見したのはヘンリー・キャベンディッシュ、重水素を発見したのはハロルド・ユーリーですが、三重水素を発見したのは誰でしょう？,マーク・オリファント
299,バスケットボールにおいて、空中でパスをキャッチしそのまま空中でシュートをするプレーを何というでしょうでしょう？,アリウープ
300,エレベーターの階数表示で、屋上を表すRはルーフ（roof）の略ですが、地下を表すBは何の略でしょう？,ベースメント【basement】
301,山号を栂尾(とがのお)山という、日本最古の漫画と呼ばれる国宝『鳥獣人物戯画』を所有している寺はどこでしょう？,高山寺(こうざんじ)
302,カメラのブレを防ぐために、遠隔からシャッターを切れる装置を何というでしょう？,レリーズ
303,特にイスラエル・パレスチナの外で暮らすユダヤ人集団を指すことが多い、元の居住地を離れて暮らす国民や民族の集団を何というでしょう？,ディアスポラ
304,イギリスの心理学者コリン・チェリーが提唱した、多人数が談笑している会場でも自分の聞きたい人の声だけは聴きとることができるという現象を何というでしょう？,カクテルパーティー効果
305,雲が白く見えるのはこれが原因である、光が空気中を進むときに波長と同程度の微粒子によって光が散乱する現象を何というでしょう？,ミー散乱
306,臓器移植の中でも、移植を受けた患者から摘出した臓器を他の患者に移植することを何というでしょう？,ドミノ移植
307,ナポレオンが生まれた島はコルシカ島ですが、亡くなった島はどこでしょう？,セントヘレナ島
308,「ゼータ関数の非自明な零点の実部は1/2である」という予想を、提唱した数学者の名から何というでしょう？,リーマン予想
309,世界に生息するワニの種類を大きく3つに分けると、アリゲーター科、クロコダイル科とあと一つは何でしょう？,ガビアル科
310,これを達成すると得点は200点になる、ボウリングでストライクとスペアを交互に取ることを何というでしょう？,ダッチマン
311,演劇の通し稽古を指す「ゲネプロ」とは何という言葉の略でしょう？,ゲネラルプローベ
312,「足踏み」から「残心」までの８つからなる、弓道において矢を射る際の八つの基本動作を何というでしょう？,射法八節
313,スピーカーから出た音をマイクが再び拾ってしまい「キーン」といった音が出てしまう現象を何というでしょう？,ハウリング
314,流体中で静止している物体は、それが押しのけた流体の重さと同じ大きさの浮力を受ける、という法則を、発見したギリシャの数学者の名前から何というでしょう？,アルキメデスの原理
315,自身の作品とともにかつてのフランスの100フラン紙幣に描かれていた、代表作に『キオス島の虐殺』『民衆を導く自由の女神』がある同国の画家は誰でしょう？,ウジェーヌ・ドラクロワ
316,あることを強く禁止されると、かえってその行為への欲求や関心が高まる現象を、この現象が起こった映画のタイトルを用いて何というでしょう？,カリギュラ効果
317,テランというコートでビュットという目標にブールというボールを投げて近づける、南フランスのプロバンス地方発祥のスポーツは何でしょう？,ペタンク
318,試合が終われば味方も敵もないということから、ラグビーの試合終了の合図を何というでしょう？,ノーサイド
319,『トスカ』『ラ・ボエーム』とともに「プッチーニの三大オペラ」に数えられる、長崎を舞台に、アメリカ海軍士官ピンカートンと結婚した芸者の悲劇を描いたオペラは何でしょう？,『蝶々夫人』
320,ひらがなでは「む」や「を」で起きやすいとされている、特定の文字を断続的に見続けることで図形のように見えてくる現象を何というでしょう？,ゲシュタルト崩壊
321,王室批判と政府転覆以外の話題であればだれでも自由に演説することができる、ハイドパーク内にある区域は何でしょう？,スピーカーズコーナー
322,宝塚歌劇団に存在する５つの組とは、花組、月組、雪組、星組と何でしょう？,宙組
323,「サッチモ」の愛称でも知られる、『ヒービー･ジービーズ』を吹き込んだ際にスキャットを考案したアメリカのジャズ奏者は誰でしょう？,ルイ・アームストロング
324,悪天候の時、船のマストの先端が発光する現象を、船乗りの守護聖人の名前から何というでしょう？,セントエルモの火
325,「圧巻」や「破天荒」などの故事成語の由来となった、中国で隋の時代から約1300年間行われていた、官吏登用のための資格試験を何というでしょう？,科挙
326,世界の国で、ブダペストを首都とするのはハンガリーですが、ブカレストを首都とする国はどこでしょう？,ルーマニア
327,化学式C8H10N4O2で表される、お茶やコーヒーなどに含まれるアルカロイドの一種は何でしょう？,カフェイン
328,淡路島にある3つの市とは、淡路市、南あわじ市と何でしょう？,洲本（すもと）市
329,チュッパチャップスのロゴをデザインしたことでも知られる、代表作に『茹でた隠元豆のある柔らかい構造』『記憶の固執』がある、スペインのシュールレアリスム画家は誰でしょう？,サルバドール・ダリ
330,記号Dで表され、焦点距離の逆数で求められる、レンズの度数などを表すのに使われる数値は何でしょう？,ディオプトリー
331,約20年周期で起こる、建築需要を原因とする景気変動のことを、発表した経済学者の名前から何というでしょう？,クズネッツの波
332,ドイツの物理学者、ルドルフ・クラウジウスが導入した、統計力学などでの乱雑さを表す指標は何でしょう？,エントロピー
333,ペルーのマチュピチュやタンザニアのンゴロンゴロ保全地域などのように、ユネスコが登録する世界遺産のうち文化遺産と自然遺産の両方の性質をもつものを何というでしょう？,複合遺産
334,3wayスピーカーにおいて、高音域を担当するスピーカーはツイーター、低音域を担当するのはウーファーですが、中音域を担当するのは何でしょう？,スコーカー
335,732年、ウマイヤ朝のイスラーム勢力をカール＝マルテル率いるフランク王国軍が撃退した戦いを何というでしょう？,トゥール・ポワティエ間の戦い
336,正式には「自然哲学の数学的諸原理」という、アイザック・ニュートンの著書は何でしょう？,『プリンキピア』
337,サントヴィクトワール山をよく描いた、自然を幾何学的に捉えた表現を用い、「近代絵画の父」と呼ばれるフランスの画家は誰でしょう？,ポール・セザンヌ
338,本名をサミュエル・ラングホーン・クレメンズという、代表作に『不思議な少年』『王子と乞食』『トムソーヤの冒険』などがあるアメリカの作家は誰でしょう？,マーク・トウェイン
339,ギリシャ語で「火星に対抗するもの」という意味がある、さそり座のα星は何でしょう？,アンタレス
340,「オールドフェイスフル」という間欠泉があり、世界初の国立公園としても知られる、アメリカのワイオミング州に位置する公園は何でしょう？,イエローストーン国立公園
341,ブラジルへの移民を描いた『蒼氓（そうぼう）』で第一回芥川賞を受賞した日本の作家は誰でしょう？,石川達三
342,特徴的なデザインから「和の大家」と称された、石の美術館、サントリー美術館、新国立競技場などを設計した日本の建築家は誰でしょう？,隈研吾(くま・けんご)
343,水引の蝶結びと結び切りのうち、結婚祝いや弔事など繰り返してほしくないことに対して使用するのはどちらでしょう？,結び切り
344,その中で初めて「ロボット」という言葉が使われた、チェコの作家カレル・チャペックの小説は何でしょう？,『R.U.R(エルウーエル)』
345,『プーさんの鼻』『オレがマリオ』『サラダ記念日』などの詩集で知られる、日本の詩人は誰でしょう？,俵万智
346,沖縄県糸満市と那覇市を結んでいる、その番号が最も大きいことで知られる国道は何でしょう？,507号線
347,彼の命日である2月12日は「菜の花忌」と呼ばれる、代表作に『坂の上の雲』や『竜馬がゆく』などがある日本の小説家は誰でしょう？,司馬遼太郎
348,デザインを藤田麻衣子が、ルールを北尾まどかが考案した、らいおん、きりん、ぞう、ひよこの４つの駒を動かして遊ぶ、将棋に似たゲームは何でしょう？,どうぶつしょうぎ
349,差が2である素数を双子素数、4である素数をいとこ素数といいますが、差が6である素数を何というでしょう？,セクシー素数
350,歌舞伎十八番の中で、題名が漢字一文字である2つとは、『暫(しばらく)』と何でしょう？,『嫐(うわなり)』
351,エーリッヒ・ケストナーの小説『ふたりのロッテ』で、双子であることを知る姉妹とは、ロッテと誰でしょう？,ルイーゼ
352,代表作に『2001年宇宙の旅』『宇宙のランデブー』などがある、ロバート・A・ハインライン、アイザック・アシモフとともに「SF小説の三大巨匠」に数えられるイギリスのSF作家は誰でしょう？,アーサー・C・クラーク
353,元々は深夜の公園や大通りなどにたむろする若者を撃退するために考案された、17キロヘルツ程度の高周波の音のことを何というでしょう？,モスキート音
354,インド洋と大西洋を分ける地点ともなっている、アフリカ大陸最南端の岬は何でしょう？,アガラス岬
355,1946年にノーベル文学賞を受賞した、代表作に『ガラス玉演戯』『車輪の下』『少年の日の思い出』などがあるスイスの作家は誰でしょう？,ヘルマン・ヘッセ
356,1958年は「インスリンの構造研究」によって、1980年は「核酸の塩基配列の決定」によって二度ノーベル化学賞を受賞した人物は誰でしょう？,フレデリック・サンガー
357,ポルトガルの民族楽器・マシェーテを起源とする、ハワイ語で「跳ねるノミ」という意味があるハワイの弦楽器は何でしょう？,ウクレレ
358,イギリスの分子生物学者クリックが提唱した、DNAのもつ遺伝情報はRNAを介してタンパク質に一方向に伝えられるという説を何というでしょう？,セントラルドグマ
359,技術革新によって起きる、約50年周期の景気変動の波のことを、提唱したロシアの経済学者の名から何というでしょう？,コンドラチェフの波
360,ポーランドの眼科医ルドヴィゴ・ザメンホフが国際補助語を目指して考案した人工言語は何でしょう？,エスペラント語
361,社会学者の大野晃(あきら)が提唱した、高齢化や過疎化により存続が危ぶまれている集落を何というでしょう？,限界集落
362,刑法第81条で禁止され、法定刑が死刑のみのため最も重い罪とされる、外国政府と共謀して日本に対して武力を行使させる罪を何というでしょう？,外患誘致罪
363,英語では「ナイチンゲールフロア」と言う、二条城や知恩院のものが有名な、上を歩くと床がきしみ、音が出る廊下のことを何というでしょう？,うぐいす張り
364,強力磁石鋼のKS鋼を発見したことで知られる、鈴木梅太郎、長岡半太郎とともに「理研の三太郎」に数えられる物理学者は誰でしょう？,本多光太郎
365,エドヒガンとオオシマザクラの交配によって誕生した、本州の桜の開花予想に利用されている桜の品種は何でしょう？,ソメイヨシノ
366,ビューローの名付けた「ドイツ3B」といえば、バッハ、ベートーベンと誰でしょう？,ブラームス
367,ベトナム語で「刷新」という意味がある、1986年のベトナム共産党第6回党大会で提起された政策は何でしょう？,ドイモイ
368,最高峰は標高4165メートルのツブカル山である、その名はギリシャ神話の巨人の神に由来する、アフリカ大陸北西部を東西に走る山脈は何でしょう？,アトラス山脈
369,日本の市で、白石市があるのは宮城県ですが、黒石市があるのはどこでしょう？,青森県
370,「廻れば大門の見返り柳いと遠けれど」という書き出しで始まる、美登利と藤本信如の淡い恋を描いた、樋口一葉の短編小説は何でしょう？,『たけくらべ』
371,「気持ちが入ってないからボールだ」「俺がルールブックだ」などの数々の名言で知られる、昭和期の野球の審判は誰でしょう？,二出川延明
372,竜巻の規模を表す尺度に名を残す、気象現象「ダウンバースト」の発見者であり、「ミスター・トルネード」と呼ばれた日本の気象学者は誰でしょう？,藤田哲也
373,長良川、四万十川とともに日本３大清流に数えられる、静岡県を流れる日本で最も短い一級河川は何でしょう？,柿田川
374,紀元前202年に項羽と劉邦の間で行われた、故事成語「四面楚歌」の語源となった戦いは何でしょう？,垓下の戦い
375,ダイヤモンドの品質を表す「4C」とはカラット、カラー、カットと何でしょう？,クラリティ
376,那須与一が扇の的を矢で射抜いた逸話も有名な、1185年に現在の香川県で起こった源平合戦の一つは何でしょう？,屋島の戦い
377,その値は太陽質量のおよそ1.4倍である、白色矮星の質量限界のことを、アメリカの天文学者の名前から何というでしょう？,チャンドラセカール限界
378,1952年にノーベル平和賞を受賞した、ガボンでの医療活動に尽力し、「密林の聖者」と呼ばれたドイツの医師は誰でしょう？,シュバイツァー
379,哲学の用語で、「先天的」のことをアプリオリといいますが、「後天的」のことを何というでしょう？,アポステリオリ
380,約54年8ヶ月というマラソンの最長記録を残した、1912年にストックホルム五輪に参加し、日本人初の五輪参加者の１人となった人物は誰でしょう？,金栗四三
381,演劇や音楽界で、芝居が終わったあと、盛大な拍手に応えて再び登場した俳優が挨拶をすることを何というでしょう？,カーテンコール
382,テレビにおける視聴率のことを、ラジオでは何というでしょう？,聴取率
383,1441年、赤松満祐が室町幕府6代将軍足利義教を暗殺した事件は何でしょう？,嘉吉の乱
384,「供給はそれ自らの需要をつくりだす」という法則を、提唱したフランスの経済学者の名前から何というでしょう？,セーの法則
385,キーボードにおけるQWERTY配列のように、公的な認証ではなく市場の競争によって認められるようになった規格のことを何というでしょう？,デファクトスタンダード
386,ある特定の条件下では、水よりもお湯のほうが早く凍るという効果を、これを発見したタンザニアの高校生の名前から「何効果」というでしょう？,ムペンバ効果
387,第1回ノーベル物理学賞を受賞した、X線を発見し、日本におけるX線検査の別称に名を残すのは誰でしょう？,レントゲン
388,「お楽しみはこれからだ」というセリフも有名な、世界初のトーキー映画として知られる、アラン・クロスランド監督の映画は何でしょう？,『ジャズ・シンガー』
389,「人は達成した事柄よりも、達成できなかった事柄の方がよく覚えている」という現象のことを、提唱者の名前から「何効果」というでしょう？,ツァイガルニク効果
390,元の命題と真偽は一致する、「AならばBである」という命題に対する「BでないならばAである」という命題のことを何というでしょう？,対偶
391,黒丸一つだけの『冬眠』や、ひらがなの「る」が連なった『春殖』など、カエルを題材にした詩で知られる詩人は誰でしょう？,草野心平
392,日本郵便の１円切手に肖像が描かれている、日本の郵便の仕組みを築いたことから「日本郵便の父」と呼ばれる人物は誰でしょう？,前島密
393,本名をマリー・アンリ・ベールという、代表作に『パルムの僧院』『赤と黒』などがある、フランスの小説家は誰でしょう？,スタンダール
394,これによりナポレオンの百日天下に終止符が打たれた、1815年にフランス軍とイギリス・オランダ・プロイセン連合軍の間で行われた戦いは何でしょう？,ワーテルローの戦い
395,プランクトンの死骸などが海中をゆっくりと降下する現象を、ある気象現象に似ていることから何というでしょう？,マリンスノー
396,航空機の離着陸訓練で行われる、滑走路に着陸した後、すぐに離陸することを何というでしょう？,タッチアンドゴー
397,今川氏の『今川仮名目録』や伊達氏の『塵芥集』などが知られる、戦国大名が領域支配のために発布した法は何でしょう？,分国法
398,考案者の名前から「ペトリ皿」とも呼ばれる、細菌の培養などに用いられる実験器具は何でしょう？,シャーレ
399,元々は4人で行われていたが、のちに2人制のルールが作られ、チェスや将棋の起源となった、古代インドのボードゲームは何でしょう？,チャトランガ
400,「夕焼けは晴れ」「ツバメが低く飛ぶと雨」などのように、空模様や生物の行動から天気を経験的に予想する方法を何というでしょう？,観天望気
